"Expert","Family","Genus","Species","Major.Group","Minor.Group","fm_scoring_fruit","seed.min","seed.max","fm_scoring_seed_number","seed.length.min","seed.length.max","seed.width.min","seed.width.max","fm_scoring_pollination1","fm_scoring_pollination2","Corolla.diameter..min...max...prevalent.","Corolla.diameter.min","Corolla.diameter.max","fm_scoring_corolla_diam","Hypanthium.length..min...max...prevalent."
"Fabian Michelangeli","Melastomataceae","Maieta","poeppiggii","Melastomatoideae","Miconieae","fleshy",100,100,"100",0.5,0.6,NA,NA,"insects","biotic","5; 8.5",NA,NA,NA,"5; 6"
"Fabian Michelangeli","Melastomataceae","Mallophyton","chimantense","Melastomatoideae","UNPLACED","dry",100,100,"100",0.5,0.7,NA,NA,"insects","biotic","16; 17",NA,NA,NA,"5"
"Fabian Michelangeli","Melastomataceae","Marcetia","taxifolia","Melastomatoideae","Marcetieae","dry",100,100,"100",0.7,0.8,NA,NA,"insects","biotic","5; 7",NA,NA,NA,"2.5; 3"
"Fabian Michelangeli","Melastomataceae","Mecranium","haemanthum","Melastomatoideae","Miconieae","fleshy",100,100,"100",0.35,0.4,NA,NA,NA,NA,"2.9; 3.3",NA,NA,NA,"3.3"
"Fabian Michelangeli","Melastomataceae","Memecylon","rheophyticum","Olisbeoideae","Olisbeoideae-OW","fleshy",1,1,"",NA,NA,NA,NA,"insects","biotic","2; 2.5",NA,NA,NA,"2.5; 3"
"Fabian Michelangeli","Melastomataceae","Meriania","albiflora","Melastomatoideae","Merianieae","dry",100,100,"100",1.2,1.4,NA,NA,NA,NA,"23.7; 24.7",NA,NA,NA,"4; 4.5"
"Fabian Michelangeli","Melastomataceae","Merianthera","bullata","Melastomatoideae","Cambessedesieae","dry",100,100,"100",1,1.5,NA,NA,"insects","biotic","14; 25",NA,NA,NA,"7; 10"
"Fabian Michelangeli","Melastomataceae","Miconia","albicans","Melastomatoideae","Miconieae","fleshy",100,100,"100",0.8,0.9,NA,NA,"insects","biotic","2.5; 3",NA,NA,NA,"2"
"Fabian Michelangeli","Melastomataceae","Microlepis","oleaefolia","Melastomatoideae","Microlicieae","dry",100,100,"100",0.4,0.6,NA,NA,"insects","biotic","6; 14",NA,NA,NA,"3; 6.5"
"Fabian Michelangeli","Melastomataceae","Microlicia","cordata","Melastomatoideae","Microlicieae","dry",100,100,"100",0.4,0.8,NA,NA,"insects","biotic","3.5; 4.5",NA,NA,NA,"2.5"
"Fabian Michelangeli","Melastomataceae","Monochaetum","lineatum","Melastomatoideae","Melastomateae","dry",100,100,"100",0.4,0.45,NA,NA,"insects","biotic","8.5; 11",NA,NA,NA,"4.5; 6"
"Fabian Michelangeli","Melastomataceae","Monolena","primuliflora","Melastomatoideae","Trioleneae","dry",100,100,"100",0.9,0.9,0.9,0.9,"insects","biotic","15; 24",NA,NA,NA,"2.5; 4"
"Fabian Michelangeli","Melastomataceae","Mouriri","gleasoniana","Olisbeoideae","Olisbeoideae-NW","fleshy",1,5,"3",8,9,NA,NA,"insects","biotic","3.5; 5.7",NA,NA,NA,"3.5; 5"
"Fabian Michelangeli","Melastomataceae","Myriaspora","egensis","Melastomatoideae","Henrietteeae","fleshy",100,100,"100",0.4,0.5,NA,NA,"insects","biotic","8; 12",NA,NA,NA,"7"
"Fabian Michelangeli","Melastomataceae","Neblinanthera","cumbrensis","Melastomatoideae","Henrietteeae","dry",NA,NA,NA,NA,NA,NA,NA,"insects","biotic","3; 3.1",NA,NA,NA,"1.9; 2"
"Fabian Michelangeli","Melastomataceae","Necranium","gigantophyllum","Melastomatoideae","Miconieae","fleshy",100,100,"100",0.5,0.62,NA,NA,"insects","biotic","2.3; 2.5",NA,NA,NA,"2"
"Fabian Michelangeli","Melastomataceae","Nepsera","aquatica","Melastomatoideae","Marcetieae","dry",100,100,"100",0.8,0.9,NA,NA,"insects","biotic","4.5; 7",NA,NA,NA,"1.8; 2"
"Fabian Michelangeli","Melastomataceae","Noterophila","bivalvis","Melastomatoideae","Marcetieae","dry",100,100,"100",0.5,0.75,NA,NA,"insects","biotic","6; 12",NA,NA,NA,"2.5; 4"
"Fabian Michelangeli","Melastomataceae","Ochthephilus","repentinus","Melastomatoideae","Eriocnemeae","dry",NA,NA,NA,NA,NA,NA,NA,"insects","biotic","18.5; 19.5",NA,NA,NA,"4.5"
"Fabian Michelangeli","Melastomataceae","Opisthocentra","clidemioides","Melastomatoideae","Sonerileae","dry",100,100,"100",0.5,0.7,NA,NA,"insects","biotic","7; 9",NA,NA,NA,"8; 9"
"Fabian Michelangeli","Melastomataceae","Ossaea","amygdaloides","Melastomatoideae","Miconieae","fleshy",100,100,"100",0.8,1.2,NA,NA,"insects","biotic","2.5; 5",NA,NA,NA,"4.5; 7"
"Fabian Michelangeli","Melastomataceae","Ossaea","boliviensis","Melastomatoideae","Miconieae","fleshy",100,100,"100",0.65,0.65,0.65,0.65,"insects","biotic","5.5; 6",NA,NA,NA,"4; 5"
"Fabian Michelangeli","Melastomataceae","Ossaea","micrantha","Melastomatoideae","Miconieae","fleshy",100,100,"100",0.3,0.43,NA,NA,"insects","biotic","3; 4",NA,NA,NA,"1.6; 1.7"
"Fabian Michelangeli","Melastomataceae","Pachyanthus","moensis","Melastomatoideae","Miconieae","fleshy",20,24,"22",1.8,2,NA,NA,"insects","biotic","3; 4.5",NA,NA,NA,"2.5"
"Fabian Michelangeli","Melastomataceae","Pachycentria","glauca","Melastomatoideae","Sonerileae",NA,NA,NA,NA,NA,NA,NA,NA,"insects","biotic","3; 4",NA,NA,NA,"2.5"
"Fabian Michelangeli","Melastomataceae","Pachyloma","huberioides","Melastomatoideae","Rhexieae","dry",100,100,"100",0.9,1,NA,NA,"insects","biotic","15; 20",NA,NA,NA,"6; 12"
"Fabian Michelangeli","Melastomataceae","Phainantha","laxiflora","Melastomatoideae","Sonerileae","dry",100,100,"100",2,2,2,2,"insects","biotic","6; 7",NA,NA,NA,"6"
"Fabian Michelangeli","Melastomataceae","Pilocosta","oerstedii","Melastomatoideae","Melastomateae","dry",100,100,"100",0.5,0.5,0.5,0.5,"insects","biotic","7; 12",NA,NA,NA,"4.5; 6"
"Fabian Michelangeli","Melastomataceae","Pleiochiton","blepharodes","Melastomatoideae","Miconieae","fleshy",150,150,"150",0.6,0.9,NA,NA,"insects","biotic","4; 8",NA,NA,NA,"2.7; 4.5"
"Fabian Michelangeli","Melastomataceae","Pleroma","angustifolium","Melastomatoideae","Melastomateae","dry",100,100,"100",0.6,0.9,NA,NA,"insects","biotic","1.5; 2",NA,NA,NA,"4.5"
"Fabian Michelangeli","Melastomataceae","Poteranthera","pussila","Melastomatoideae","Microlicieae","dry",50,50,"50",0.8,0.8,0.8,0.8,"insects","biotic","3",NA,NA,NA,"1"
"Fabian Michelangeli","Melastomataceae","Pseudoernestia","glandulosa","Melastomatoideae","Marcetieae","dry",50,50,"50",0.8,0.8,0.8,0.8,"insects","biotic","5; 8",NA,NA,NA,"2.7; 3.3"
"Fabian Michelangeli","Melastomataceae","Pterogastra","divaricata","Melastomatoideae","Melastomateae","dry",100,100,"100",0.8,0.9,NA,NA,"insects","biotic","12; 15",NA,NA,NA,"7; 8"
"Fabian Michelangeli","Melastomataceae","Pterolepis","glomerata","Melastomatoideae","Melastomateae","dry",100,100,"100",0.4,0.5,NA,NA,"insects","biotic","10; 12",NA,NA,NA,"3.5; 5"
"Fabian Michelangeli","Melastomataceae","Quipuanthus","epipetricus","Melastomatoideae","Cyphostyleae","dry",100,100,"100",0.6,1.2,NA,NA,"insects","biotic","14; 17",NA,NA,NA,"5.8; 8.1"
"Fabian Michelangeli","Melastomataceae","Rhexia","virginica","Melastomatoideae","Rhexieae","dry",100,100,"100",0.6,0.7,NA,NA,"insects","biotic","10; 18",NA,NA,NA,"6; 7"
"Fabian Michelangeli","Melastomataceae","Rhynchanthera","grandiflora","Melastomatoideae","Microlicieae","dry",100,100,"100",0.5,0.65,NA,NA,"insects","biotic","15; 25",NA,NA,NA,"5; 6"
"Fabian Michelangeli","Melastomataceae","Rupestrea","johnwurdackiana","Melastomatoideae","UNPLACED","dry",3,4,"7.5",3,3.5,NA,NA,"insects","biotic","5.7; 7.7",NA,NA,NA,"2.5; 3"
"Fabian Michelangeli","Melastomataceae","Salpinga","peruviana","Melastomatoideae","Merianieae","dry",50,50,"50",0.7,0.9,NA,NA,"insects","biotic","15; 17",NA,NA,NA,"7"
"Fabian Michelangeli","Melastomataceae","Sandemania","hoehnei","Melastomatoideae","Marcetieae","dry",100,100,"100",0.8,0.9,NA,NA,"insects","biotic","3; 5",NA,NA,NA,"2.2; 3"
"Fabian Michelangeli","Melastomataceae","Schwackaea","cupheoides","Melastomatoideae","Melastomateae","dry",50,50,"50",0.5,0.6,NA,NA,"insects","biotic","5; 7",NA,NA,NA,"7; 8"
"Fabian Michelangeli","Melastomataceae","Siphanthera","hostmanii","Melastomatoideae","Marcetieae","dry",100,100,"100",0.45,0.5,NA,NA,"insects","biotic","1.5; 2",NA,NA,NA,"2; 3"
"Fabian Michelangeli","Melastomataceae","Stenodon","suberosus","Melastomatoideae","Microlicieae","dry",100,100,"100",0.6,0.8,NA,NA,"insects","biotic","20; 30",NA,NA,NA,"6; 7"
"Fabian Michelangeli","Melastomataceae","Svitramia","wurdackiana","Melastomatoideae","Melastomateae","dry",100,100,"100",0.6,0.6,0.6,0.6,"insects","biotic","13; 16",NA,NA,NA,"4; 5"
"Fabian Michelangeli","Melastomataceae","Tateanthus","duidae","Melastomatoideae","UNPLACED","dry",100,100,"100",1,1,1,1,"insects","biotic","6; 9",NA,NA,NA,"4.5; 6"
"Fabian Michelangeli","Melastomataceae","Tessmannianthus","quadridomius","Melastomatoideae","Astronieae","dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.5",NA,NA,NA,"8.5"
"Fabian Michelangeli","Melastomataceae","Tetrazygia","urceolata","Melastomatoideae","Miconieae","fleshy",NA,NA,NA,NA,NA,NA,NA,"insects","biotic","5",NA,NA,NA,"4.5"
"Fabian Michelangeli","Melastomataceae","Tibouchina","aspera","Melastomatoideae","Melastomateae","dry",100,100,"100",0.6,0.9,NA,NA,"insects","biotic","9; 15",NA,NA,NA,"7; 8"
"Fabian Michelangeli","Melastomataceae","Tibouchina","heteromalla","Melastomatoideae","Melastomateae","dry",100,100,"100",0.6,0.9,NA,NA,"insects","biotic","12; 16",NA,NA,NA,"4; 5"
"Fabian Michelangeli","Melastomataceae","Tibouchina","lepidota","Melastomatoideae","Melastomateae","dry",100,100,"100",0.6,0.9,NA,NA,"insects","biotic","15; 30",NA,NA,NA,"6; 8"
"Fabian Michelangeli","Melastomataceae","Tibouchina","longifolia","Melastomatoideae","Melastomateae","dry",100,100,"100",0.6,0.9,NA,NA,"insects","biotic","5; 7",NA,NA,NA,"3; 4"
"Fabian Michelangeli","Melastomataceae","Tibouchina","ochypetala","Melastomatoideae","Melastomateae","dry",100,100,"100",0.6,0.9,NA,NA,"insects","biotic","20; 30",NA,NA,NA,"5; 7"
"Fabian Michelangeli","Melastomataceae","Tibouchinopsis","mirabilis","Melastomatoideae","Melastomateae","dry",100,100,"100",0.8,0.8,0.8,0.8,"insects","biotic","17",NA,NA,NA,"5"
"Fabian Michelangeli","Melastomataceae","Tococa","guianensis","Melastomatoideae","Miconieae","fleshy",100,100,"100",0.6,1.2,NA,NA,"insects","biotic","6.5; 15; 11",NA,NA,NA,"5; 7.5"
"Fabian Michelangeli","Melastomataceae","Trembleya","parviflora","Melastomatoideae","Microlicieae","dry",100,100,"100",0.7,0.8,NA,NA,"insects","biotic","5; 7",NA,NA,NA,"2.5"
"Fabian Michelangeli","Melastomataceae","Triolena","amazonica","Melastomatoideae","Trioleneae","dry",100,100,"100",0.45,0.6,NA,NA,"insects","biotic","6; 7",NA,NA,NA,"4; 5"
"Fabian Michelangeli","Melastomataceae","Tryssophyton","merumense","Melastomatoideae","Sonerileae","dry",50,50,"50",0.5,0.6,NA,NA,"insects","biotic","11; 13",NA,NA,NA,"2; 2.5"
"Fabian Michelangeli","Melastomataceae","Votomita","guianensis","Olisbeoideae","Olisbeoideae-NW","fleshy",1,1,"1",6.5,6.5,6.5,6.5,"insects","biotic","5; 6.5",NA,NA,NA,"3; 4"
"Fabian Michelangeli","Melastomataceae","Warneckea","","Olisbeoideae","Olisbeoideae-OW",NA,NA,NA,NA,NA,NA,NA,NA,"insects","biotic","",NA,NA,NA,""
"Fabian Michelangeli","Melastomataceae","Wurdastom","hexamera","Melastomatoideae","Cyphostyleae","dry",100,100,"100",0.5,0.6,NA,NA,"insects","biotic","4; 5",NA,NA,NA,"3"
"Fabian Michelangeli","Penaeaceae","Brachysiphon","fucatus","","","dry",NA,NA,NA,3,3.4,NA,NA,NA,NA,"n/a",NA,NA,NA,"5; 6"
"Fabian Michelangeli","Penaeaceae","Endonema","retzioides","","","dry",NA,NA,NA,NA,NA,NA,NA,"vertebrates","biotic","n/a",NA,NA,NA,""
"Fabian Michelangeli","Penaeaceae","Glischrocolla","formosa","","","dry",NA,NA,NA,NA,NA,NA,NA,"vertebrates","biotic","n/a",NA,NA,NA,""
"Fabian Michelangeli","Penaeaceae","Olinia","","","","fleshy",1,1,"1",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,""
"Fabian Michelangeli","Penaeaceae","Penaea","mucronata","","","dry",NA,NA,NA,2,2.2,NA,NA,NA,NA,"n/a",NA,NA,NA,"5; 7"
"Fabian Michelangeli","Penaeaceae","Rhynchocalyx","lawsonioides","","","dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a",NA,NA,NA,""
"Fabian Michelangeli","Penaeaceae","Saltera","sarcocolla","","","dry",NA,NA,NA,3.5,4.5,NA,NA,"vertebrates","biotic","n/a",NA,NA,NA,"19; 43"
"Fabian Michelangeli","Penaeaceae","Sonderothamnus","petraeus","","","dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a",NA,NA,NA,"7; 8"
"Fabian Michelangeli","Penaeaceae","Stylapterus","micranthus","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,""
"Gustavo Shimizu & Deise Gonçalves","Vochysiaceae","Callisthene","microphylla","","","Dry",3,6,"4.5",5,10,3,7,"insects","biotic","0.5-1.3 cm long",5,13,9,"not measured"
"Gustavo Shimizu & Deise Gonçalves","Vochysiaceae","Erisma","arietinum","","","Dry",1,1,"1",NA,NA,NA,NA,"insects","biotic","0.5-2 cm long",5,20,12.5,"not measured"
"Gustavo Shimizu & Deise Gonçalves","Vochysiaceae","Erismadelphus","exsul","","","Dry",1,1,"1",NA,NA,NA,NA,NA,NA,"ca. 0.5 cm long",5,5,5,"not measured"
"Gustavo Shimizu & Deise Gonçalves","Vochysiaceae","Korupodendron","songweanum","","","Dry",1,1,"1",NA,NA,NA,NA,NA,NA,"ca. 1 cm long",10,10,10,"not measured"
"Gustavo Shimizu & Deise Gonçalves","Vochysiaceae","Qualea","parviflora","","","Dry",3,30,"16.5",10,45,5,15,"insects","biotic","0.9-7 cm long",9,70,39.5,"not measured"
"Gustavo Shimizu & Deise Gonçalves","Vochysiaceae","Ruizterania","albiflora","","","Dry",6,6,"6",10,12,3,5,"insects","biotic","1.8-4.5 cm long",18,45,31.5,"not measured"
"Gustavo Shimizu & Deise Gonçalves","Vochysiaceae","Salvertia","convallariodora","","","Dry",3,3,"3",4,4,10,12,"insects","biotic","1.9-2.6 cm long",19,26,22.5,"not measured"
"Gustavo Shimizu & Deise Gonçalves","Vochysiaceae","Vochysia","guianensis","","","Dry",3,3,"3",15,35,5,12,"insects","biotic","0.4-3.5 cm long",4,35,19.5,"not measured"
"Karinne Valdemarin","Myrtaceae","Accara","elegans","Myrteae","Myrtinae","fleshy",40,40,"40",3,3,NA,NA,"insects","biotic","?",NA,NA,NA,"absent"
"Karinne Valdemarin","Myrtaceae","Chamguava","schipii","Myrteae","Myrtinae","fleshy",1,4,"2,5",6,10,NA,NA,NA,NA,"?",NA,NA,NA,"absent"
"Karinne Valdemarin","Myrtaceae","Myrtus","communis","Myrteae","Myrtinae","fleshy",10,12,"11",2,4,NA,NA,"insects","biotic","?",NA,NA,NA,"absent"
"Karinne Valdemarin","Myrtaceae","Curitiba","prismatica","Myrteae","Pimentinae","fleshy",4,7,"5,5",2,4,0.5,0.5,"insects","biotic","?",NA,NA,NA,"absent"
"Karinne Valdemarin","Myrtaceae","Legrandia","concinna","Myrteae","Pimentinae","fleshy",1,5,"3",1.5,2,NA,NA,"insects","biotic","?",NA,NA,NA,"absent"
"Karinne Valdemarin","Myrtaceae","Pimenta","pseudocaryophyllus","Myrteae","Pimentinae","fleshy",1,3,"2",4,8,NA,NA,"insects","biotic","?",NA,NA,NA,"absent"
"Karinne Valdemarin","Myrtaceae","Algrizea","minor","Myrteae","Pliniinae","fleshy",2,3,"2,5",4,4,NA,NA,"insects","biotic","?",NA,NA,NA,"absent"
"Marla Ibrahim","Myrtaceae","Campomanesia","eugenioides","Myrteae","Pimentinae","Fleshy",1,4,"2.5",2,10,NA,NA,"insects","biotic","3-35mm long",3,35,19,"4-10mm long (bracteoles to the base of calyx-lobes)"
"Olivier Maurin, Ian Turner","Combretaceae","Calopyxis","grandidieri","Combretoideae","Combreteae / Combretinae","dry",1,1,"1",5,40,NA,NA,"vertebrates","biotic","1,0; 1,5",NA,NA,NA,"10-12 mm"
"Olivier Maurin, Ian Turner","Combretaceae","Calycopteris","floribunda","Combretoideae","Combreteae / Combretinae","dry",1,1,"1",5,40,NA,NA,"insects","biotic","1,5; 2,0",NA,NA,NA,"4.5-6 mm"
"Olivier Maurin, Ian Turner","Combretaceae","Combretum","molle","Combretoideae","Combreteae / Combretinae","dry",1,1,"1",5,40,NA,NA,"insects","biotic","0.1;0,2",NA,NA,NA,"3-5 mm"
"Olivier Maurin, Ian Turner","Combretaceae","Combretum","sylvicola","Combretoideae","Combreteae / Combretinae","dry",1,1,"1",5,40,NA,NA,"insects","biotic","1,5; 2,0",NA,NA,NA,""
"Olivier Maurin, Ian Turner","Combretaceae","Guiera","senegalensis","Combretoideae","Combreteae / Combretinae","dry",1,1,"1",5,40,NA,NA,"insects","biotic","0,1; 0,2",NA,NA,NA,"3 mm"
"Olivier Maurin, Ian Turner","Combretaceae","Meistemon","humbertii","Combretoideae","Combreteae / Combretinae","dry",1,1,"1",5,40,NA,NA,"insects","biotic","0,1; 0,5",NA,NA,NA,"1 mm"
"Olivier Maurin, Ian Turner","Combretaceae","Thiloa","glaucocarpa","Combretoideae","Combreteae / Combretinae","dry",1,1,"1",5,40,NA,NA,"insects","biotic","0,2-0,5",NA,NA,NA,"2.5-5 mm"
"Olivier Maurin, Ian Turner","Combretaceae","Anogeissus","dhofarica","Combretoideae","Combreteae / Terminaliinae","dry",1,1,"1",2,4,NA,NA,"insects","biotic","0,4; 0,6",NA,NA,NA,""
"Olivier Maurin, Ian Turner","Combretaceae","Buchenavia","tetraphylla","Combretoideae","Combreteae / Terminaliinae","fleshy",1,1,"1",5,40,NA,NA,"insects","biotic","absent",NA,NA,NA,"2.5-5 mm"
"Olivier Maurin, Ian Turner","Combretaceae","Pteleopsis","myrtifolia","Combretoideae","Combreteae / Terminaliinae","dry",1,1,"1",5,40,NA,NA,"insects","biotic","absent",NA,NA,NA,"8 mm"
"Olivier Maurin, Ian Turner","Combretaceae","Terminalia","ankaranensis","Combretoideae","Combreteae / Terminaliinae","dry",1,1,"1",5,40,NA,NA,"insects","biotic","absent",NA,NA,NA,"2.5 mm"
"Olivier Maurin, Ian Turner","Combretaceae","Terminalia","buceras","Combretoideae","Combreteae / Terminaliinae","dry",1,1,"1",5,40,NA,NA,"insects","biotic","absent",NA,NA,NA,"2-4 mm"
"Olivier Maurin, Ian Turner","Combretaceae","Conocarpus","erectus","Combretoideae","Combreteae / Terminaliinae","dry",1,1,"1",2,4,NA,NA,"insects","biotic","absent",NA,NA,NA,"1.5-3 mm"
"Olivier Maurin, Ian Turner","Combretaceae","Dansiea","elliptica","Combretoideae","Laguncularieae","dry",1,1,"1",NA,NA,NA,NA,"vertebrates","biotic","1,0; 1,5",NA,NA,NA,"6-7 mm"
"Olivier Maurin, Ian Turner","Combretaceae","Laguncularia","racemosa","Combretoideae","Laguncularieae","dry",1,1,"1",10,15,NA,NA,"insects","biotic","0,3; 0,5",NA,NA,NA,"3.5-6.5 mm"
"Olivier Maurin, Ian Turner","Combretaceae","Lumnitzera","racemosa","Combretoideae","Laguncularieae","fleshy",1,1,"1",10,15,NA,NA,"insects","biotic","0,8; 1,0",NA,NA,NA,"6-7 mm"
"Olivier Maurin, Ian Turner","Combretaceae","Macropteranthes","montana","Combretoideae","Laguncularieae","dry",1,1,"1",6,10,NA,NA,"insects","biotic","0,5; 0,8",NA,NA,NA,"5-7 mm"
"Olivier Maurin, Ian Turner","Combretaceae","Strephonema","mannii","Strephonematoideae","","fleshy",1,1,"1",50,70,NA,NA,"insects","biotic","0,4; 0,8",NA,NA,NA,"3 mm"
"Paulo Gaem","Myrtaceae","Calycolpus","goetheanus","Myrteae","Myrtinae","Fleshy",3,200,"101.5",1.5,5,NA,NA,"insects","biotic","?",NA,NA,NA,"1; 8; 3-5"
"Peter Hoch","Onagraceae","Boisduvalia","subulata","Subfam. Onagroideae","Tribe Epilobieae","dry",8,32,"20",0.9,2.5,NA,NA,"insects","biotic","3; 40; c. 8",3,40,21.5,"0.3; 17; 3"
"Peter Hoch","Onagraceae","Camissonia","tanacetifolia","Subfam. Onagroideae","Tribe Onagreae","dry",80,160,"120",1.3,2.2,NA,NA,"insects","biotic","10; 45; 20",10,45,27.5,"1.5; 8; 3"
"Peter Hoch","Onagraceae","Chemerion","latifolium","Subfam. Onagroideae","Tribe Epilobieae","dry",200,500,"350",1,2.5,NA,NA,"insects","biotic","20; 70; c. 35",20,70,45,"0 (no hypan.)"
"Peter Hoch","Onagraceae","Chylismia","claviformis","Subfam. Onagroideae","Tribe Onagreae","dry",80,160,"120",0.5,1.8,NA,NA,"insects","biotic","2; 30; c. 15",2,30,16,"0.4; 40; ?"
"Peter Hoch","Onagraceae","Chylismiella","pterosperma","Subfam. Onagroideae","Tribe Onagreae","dry",48,60,"54",1,1.5,NA,NA,"insects","biotic","3; 6; c. 3.5",3,6,4.5,"1-2 (1 sp.)"
"Peter Hoch","Onagraceae","Circaea","cordata","Subfam. Onagroideae","Tribe Circaeeae","dry",1,2,"1.5",NA,NA,NA,NA,"insects","biotic","2; 7; c. 5",2,7,4.5,"0.2; 2.4; 1.5"
"Peter Hoch","Onagraceae","Clarkia","purpurea","Subfam. Onagroideae","Tribe Onagreae","dry",1,300,"150.5",0.5,3,NA,NA,"insects","biotic","4; 55; c. 25",4,55,29.5,"1; 35; 3.5"
"Peter Hoch","Onagraceae","Epilobium","canum","Subfam. Onagroideae","Tribe Epilobieae","dry",60,200,"130",1.5,2.6,NA,NA,"insects, vertebrates","biotic","12; 30; c 20 ",12,30,21,"16; 32; c. 25 "
"Peter Hoch","Onagraceae","Epilobium","parviflorum","Subfam. Onagroideae","Tribe Epilobieae","dry",4,500,"252",0.6,3,NA,NA,"insects","biotic","3; 45; c. 8",3,45,24,"1; 16; c. 5"
"Peter Hoch","Onagraceae","Eremothera","pygmaea","Subfam. Onagroideae","Tribe Onagreae","dry",80,160,"120",0.9,2.1,NA,NA,"insects","biotic","4; 20; c. 16",4,20,12,"0.5; 8; 1.5"
"Peter Hoch","Onagraceae","Eulobus","californicus","Subfam. Onagroideae","Tribe Onagreae","dry",48,100,"74",1,2,NA,NA,"insects","biotic","10; 25; 20",10,25,17.5,"0.6; 5; 3"
"Peter Hoch","Onagraceae","Fuchsia","excorticata","Subfam. Onagroideae","Tribe Circaeeae","fleshy",10,500,"255",1,2.5,NA,NA,"insects, vertebrates","biotic","1; 22; c. 12",1,22,11.5,"2; 130; ?"
"Peter Hoch","Onagraceae","Gayophytum","diffusum","Subfam. Onagroideae","Tribe Onagreae","dry",8,200,"104",0.7,2.3,NA,NA,"insects","biotic","1; 15; c. 6",1,15,8,"0.2; 1; 0.5"
"Peter Hoch","Onagraceae","Gongylocarpus","rubricaulis","Subfam. Onagroideae","Tribe Gongylocarpeae","dry",4,28,"16",NA,NA,NA,NA,"insects","biotic","5; 20; 5-6 and 15-18 (2 spp.)",5,20,12.5,"12; 30; 18"
"Peter Hoch","Onagraceae","Lopezia","hirsuta","Subfam. Onagroideae","Tribe Lopeziaeae","dry",4,120,"62",0.6,2,NA,NA,"insects","biotic","4; 20; c. 10",4,20,12,"0; 20; most 0 or partial fusion"
"Peter Hoch","Onagraceae","Ludwigia","octovalvis","Subfam. Ludwigioideae","","dry",50,400,"225",0.5,1.5,NA,NA,"insects","biotic","2; 55; c. 20",2,55,28.5,"0 (no hypan.)"
"Peter Hoch","Onagraceae","Neoholmgrenia","andina","Subfam. Onagroideae","Tribe Onagreae","dry",32,80,"56",0.7,1.3,NA,NA,"insects","biotic","2; 10; 7",2,10,6,"1.5-2/ 0.8-2 (only 2 sp.)"
"Peter Hoch","Onagraceae","Oenothera","glazioviana","Subfam. Onagroideae","Tribe Onagreae","dry",1,200,"100.5",0.5,8,NA,NA,"insects","biotic","3; 120; c. 40",3,120,61.5,"1; 265; ?c. 50"
"Peter Hoch","Onagraceae","Tetrapteron","palmeri","Subfam. Onagroideae","Tribe Onagreae","dry",8,36,"22",1.2,2,NA,NA,"insects","biotic","4; 30; c. 12",4,30,17,"0.8-1.3/ 1.6-3.2 (2 spp.)"
"Peter Hoch","Onagraceae","Xylonagra","arborea","Subfam. Onagroideae","Tribe Onagreae","dry",12,24,"18",2,3.5,NA,NA,"vertebrates","biotic","12; 36; c. 25",12,36,24,"20; 30; 25"
"Shirley Graham","Lythraceae","Adenaria","floribunda","","","dry",7,20,"13.5",0.9,1.3,0.8,1.2,"abiotic","abiotic","2.0-2.5",NA,NA,NA,"2.5-5.0"
"Shirley Graham","Lythraceae","Ammannia","coccinea","","","dry",100,500,"300",0.3,0.4,0.3,0.5,"insects","biotic","1.0-2.5, prev 2 mm",NA,NA,NA,"1.0-6.0, prev 2-3 mm"
"Shirley Graham","Lythraceae","Capuronia","benoistii","","","dry",5,8,"6.5",2.9,3.2,2.3,2.7,NA,NA,"1.3 mm",NA,NA,NA,"1-2 mm"
"Shirley Graham","Lythraceae","Crenea","maritima","","","dry",500,500,"500",5,5,0.3,0.5,NA,NA,"4.5-5.5",NA,NA,NA,"4-6 mm"
"Shirley Graham","Lythraceae","Cuphea","hyssopifolia","","","dry",2,100,"51",0.5,3.3,0.3,3,"abiotic, vertebrates","abiotic, biotic","2-6 mm",NA,NA,NA,"4-38 mm"
"Shirley Graham","Lythraceae","Decodon","verticillatus","","","dry",20,30,"25",1,1.9,1.2,2,"insects","biotic","4.5-6.5 mm",NA,NA,NA,"4-8 mm"
"Shirley Graham","Lythraceae","Didiplis","diandra","","","dry",25,45,"35",0.6,0.9,0.2,0.3,"abiotic","abiotic","1.5-2.5 mm",NA,NA,NA,"1.75-2.5 mm; 2mm"
"Shirley Graham","Lythraceae","Diplusodon","lanceolatus","","","dry",4,72,"38",1,4,1.8,3.5,"insects","biotic","6.5-7 mm",NA,NA,NA,"7.5-8.0 mm"
"Shirley Graham","Lythraceae","Duabanga","grandiflora","","","dry",100,100,"100",4,5.5,0.5,0.5,"vertebrates","biotic","2.5 cm",NA,NA,NA,"2-2.5 cm"
"Shirley Graham","Lythraceae","Galpinia","transvaalica","","","dry",3,10,"6.5",3,4.5,2.5,4,NA,NA,"4 mm",NA,NA,NA,"3 mm"
"Shirley Graham","Lythraceae","Ginoria","nudiflora","","","dry",50,50,"50",0.5,2.5,0.1,0.6,"insects","biotic","6-8.5, avg. 7.0",NA,NA,NA,"3-18 mm; avg, 8.6"
